,id,command_de,label_de,command_en,label_en
10,Router.SwitchOnWiFi.Init.Utterance,bitte Wlan aktivieren,{Template} {Template} {Template},Wi-Fi on,{Template}-{Template} {Template}
11,Router.SwitchOnWiFi.Init.Utterance,Wlan,{Template},connect to theWi-Fi,{Template} {Template} {Template}-{Template}
12,Router.SwitchOnWiFi.Init.Utterance,ich will das Wifi einschalten,{Template} {Template} {Template} {Template} {Template},please activate the internet,{Template} {Template} {Template} {Template}
13,Router.SwitchOnWiFi.Init.Utterance,schalte das Wlan an,{Template} {Template} {Template} {Template},give me Wi-Fi,{Template} {Template} {Template}-{Template}
14,Router.SwitchOnWiFi.Init.Utterance,bitte mach das Wifi an,{Template} {Template} {Template} {Template} {Template},I need Wi-Fi,{Template} {Template} {Template}-{Template}
15,Router.SwitchOnWiFi.Init.Utterance,ich möchte dass du das Wlan einschaltest,{Template} {Template} {Template} {Template} {Template} {Template} {Template},turn the Wi-Fi on please,{Template} {Template} {Template}-{Template} {Template} {Template}
16,Router.SwitchOnWiFi.Init.Utterance,mach das Wifi an,{Template} {Template} {Template} {Template},Wi-Fi on,{Template}-{Template} {Template}
17,Router.SwitchOnWiFi.Init.Utterance,bitte aktiviere das Internet,{Template} {Template} {Template} {Template},I want Wi-Fi,{Template} {Template} {Template}-{Template}
18,Router.SwitchOnWiFi.Init.Utterance,Wlan bitte,{Template} {Template},I want you to turn on Wi-Fi,{Template} {Template} {Template} {Template} {Template} {Template} {Template}-{Template}
19,Router.SwitchOnWiFi.Init.Utterance,ich möchte dass du das Wlan anmachst,{Template} {Template} {Template} {Template} {Template} {Template} {Template},turn the Wi-Fi on please,{Template} {Template} {Template}-{Template} {Template} {Template}
20,Tv.GenericExitToTv.Init.Utterance,zum Live TV zurückschalten,{Template} {Template} {Template} {Template},I would like to go back to the TV,{Template} {Template} {Template} {Template} {Template} {Template} {Template} {Template} {Template}
21,Tv.GenericExitToTv.Init.Utterance,zum Fernsehen zurück,{Template} {Template} {Template},back to TV,{Template} {Template} {Template}
22,Tv.GenericExitToTv.Init.Utterance,wieder zum Fernsehen,{Template} {Template} {Template},go to live TV,{Template} {Template} {Template} {Template}
23,Tv.GenericExitToTv.Init.Utterance,wieder zum Fernsehen,{Template} {Template} {Template},back to TV please,{Template} {Template} {Template} {Template}
24,Tv.GenericExitToTv.Init.Utterance,ich will Fernsehen,{Template} {Template} {Template},go to live TV,{Template} {Template} {Template} {Template}
25,Tv.GenericExitToTv.Init.Utterance,ich will Fernsehen,{Template} {Template} {Template},go back to the last channel,{Template} {Template} {Template} {Template} {Template} {Template}
26,Tv.GenericExitToTv.Init.Utterance,gehe zu Live TV,{Template} {Template} {Template} {Template},live TV again please,{Template} {Template} {Template} {Template}
27,Tv.GenericExitToTv.Init.Utterance,Live TV,{Template} {Template},I wanna watch TV,{Template} {Template} {Template} {Template}
28,Tv.GenericExitToTv.Init.Utterance,das Live Fernsehen bitte,{Template} {Template} {Template} {Template},put live TV back on,{Template} {Template} {Template} {Template} {Template}
29,Tv.GenericExitToTv.Init.Utterance,kannst du wieder zum Fernsehen zurück,{Template} {Template} {Template} {Template} {Template} {Template},show me live TV again,{Template} {Template} {Template} {Template} {Template}
30,Router.SwitchOffWiFi.Init.Utterance,Wlan aus bitte,{Template} {Template} {Template},I would like to switch off the Wi-Fi,{Template} {Template} {Template} {Template} {Template} {Template} {Template} {Template}-{Template}
31,Router.SwitchOffWiFi.Init.Utterance,trenn dich vom Wlan,{Template} {Template} {Template} {Template},could you turn the Wi-Fi off,{Template} {Template} {Template} {Template} {Template}-{Template} {Template}
32,Router.SwitchOffWiFi.Init.Utterance,ich will dass du das Wlan abschaltest,{Template} {Template} {Template} {Template} {Template} {Template} {Template},deactivate the Wi-Fi,{Template} {Template} {Template}-{Template}
33,Router.SwitchOffWiFi.Init.Utterance,stell das Wlan ab,{Template} {Template} {Template} {Template},I don't need the internet anymore,{Template} {Template}'{Template} {Template} {Template} {Template} {Template}
34,Router.SwitchOffWiFi.Init.Utterance,Drahtlosverbindung trennen,{Template} {Template},go offline,{Template} {Template}
35,Router.SwitchOffWiFi.Init.Utterance,bitte Wlan deaktivieren,{Template} {Template} {Template},I do not need the Wi-Fi anymore,{Template} {Template} {Template} {Template} {Template} {Template}-{Template} {Template}
36,Router.SwitchOffWiFi.Init.Utterance,Wifi ausmachen,{Template} {Template},I want you to turn off the Wi-Fi,{Template} {Template} {Template} {Template} {Template} {Template} {Template} {Template}-{Template}
37,Router.SwitchOffWiFi.Init.Utterance,Internet ausschalten,{Template} {Template},please deactivate the Wi-Fi,{Template} {Template} {Template} {Template}-{Template}
38,Router.SwitchOffWiFi.Init.Utterance,ich will das Wifi abschalten,{Template} {Template} {Template} {Template} {Template},stop the Wi-Fi,{Template} {Template} {Template}-{Template}
39,Router.SwitchOffWiFi.Init.Utterance,ich möchte das Wifi ausschalten,{Template} {Template} {Template} {Template} {Template},please deactivate the Wi-Fi,{Template} {Template} {Template} {Template}-{Template}
40,Tv.RadioChannelChange.Init.Utterance,bitte den Radiokanal wechseln,{Template} {Template} {Template} {Template},please put on radio station 77,{Template} {Template} {Template} {Template} {Template} {RadioChannelPosition}
41,Tv.RadioChannelChange.Init.Utterance,stell auf einen anderen Radiosender um,{Template} {Template} {Template} {Template} {Template} {Template},would you please change the radio station,{Template} {Template} {Template} {Template} {Template} {Template} {Template}
42,Tv.RadioChannelChange.Init.Utterance,umschalten auf Radioprogramm 51,{Template} {Template} {Template} {RadioChannelPosition},station change,{Template} {Template}
43,Tv.RadioChannelChange.Init.Utterance,ich finde den Radiokanal langweilig,{Template} {Template} {Template} {Template} {Template},change the radio channel,{Template} {Template} {Template} {Template}
44,Tv.RadioChannelChange.Init.Utterance,auf Radiosender Kanal 86 10 stellen,{Template} {Template} {RadioChannelName} {RadioChannelName} {RadioChannelName} {Template},please put on radio station 22,{Template} {Template} {Template} {Template} {Template} {RadioChannelPosition}
45,Tv.RadioChannelChange.Init.Utterance,schalt bitte auf ein anderes Radioprogramm,{Template} {Template} {Template} {Template} {Template} {Template},change to radio channel 56 please,{Template} {Template} {Template} {Template} {RadioChannelPosition} {Template}
46,Tv.RadioChannelChange.Init.Utterance,ich möchte ein anderes Radioprogramm anhören,{Template} {Template} {Template} {Template} {Template} {Template},station change,{Template} {Template}
47,Tv.RadioChannelChange.Init.Utterance,ich will Radiokanal 54 anhören,{Template} {Template} {Template} {RadioChannelPosition} {Template},station change,{Template} {Template}
48,Tv.RadioChannelChange.Init.Utterance,bitte Radiosender 16 anmachen,{Template} {Template} {RadioChannelPosition} {Template},please switch to Radio Svizzera Classica,{Template} {Template} {Template} {RadioChannelName} {RadioChannelName} {RadioChannelName}
49,Tv.RadioChannelChange.Init.Utterance,ich möchte Radiokanal 3 anhören,{Template} {Template} {Template} {RadioChannelPosition} {Template},would you please change the radio station,{Template} {Template} {Template} {Template} {Template} {Template} {Template}
50,Router.ShowGuestWiFiPassword.Init.Utterance,bitte Gast Wlan Passwort anzeigen,{Template} {Template} {Template} {Template} {Template},please display the guest Wi-Fi password on the TV,{Template} {Template} {Template} {Template} {Template}-{Template} {Template} {Template} {Template} {Template}
51,Router.ShowGuestWiFiPassword.Init.Utterance,das Gäste Wlan Passwort bitte anzeigen,{Template} {Template} {Template} {Template} {Template} {Template},show me the guest Wi-Fi password,{Template} {Template} {Template} {Template} {Template}-{Template} {Template}
52,Router.ShowGuestWiFiPassword.Init.Utterance,bitte Gast Wlan Passwort anzeigen,{Template} {Template} {Template} {Template} {Template},where do I get my guest Wi-Fi password,{Template} {Template} {Template} {Template} {Template} {Template} {Template}-{Template} {Template}
53,Router.ShowGuestWiFiPassword.Init.Utterance,ich will mein Gäste Wlan Passwort sehen,{Template} {Template} {Template} {Template} {Template} {Template} {Template},I want my guest Wi-Fi password,{Template} {Template} {Template} {Template} {Template}-{Template} {Template}
54,Router.ShowGuestWiFiPassword.Init.Utterance,kannst du mir das Gäste Wlan Passwort zeigen,{Template} {Template} {Template} {Template} {Template} {Template} {Template} {Template},show me the guest Wi-Fi password on the TV,{Template} {Template} {Template} {Template} {Template}-{Template} {Template} {Template} {Template} {Template}
55,Router.ShowGuestWiFiPassword.Init.Utterance,ich möchte das Gast Wlan Passwort,{Template} {Template} {Template} {Template} {Template} {Template},I'd like the guest Wi-Fi password,{Template}'{Template} {Template} {Template} {Template} {Template}-{Template} {Template}
56,Router.ShowGuestWiFiPassword.Init.Utterance,das Gäste Wlan Passwort bitte anzeigen,{Template} {Template} {Template} {Template} {Template} {Template},please give me my guest Wi-Fi password,{Template} {Template} {Template} {Template} {Template} {Template}-{Template} {Template}
57,Router.ShowGuestWiFiPassword.Init.Utterance,bitte das Gast Wlan Passwort auf dem Fernseher anzeigen,{Template} {Template} {Template} {Template} {Template} {Template} {Template} {Template} {Template},I need the guest Wi-Fi password please,{Template} {Template} {Template} {Template} {Template}-{Template} {Template} {Template}
58,Router.ShowGuestWiFiPassword.Init.Utterance,kannst du mir das Gäste Wlan Passwort zeigen,{Template} {Template} {Template} {Template} {Template} {Template} {Template} {Template},show me the guest Wi-Fi password on the TV,{Template} {Template} {Template} {Template} {Template}-{Template} {Template} {Template} {Template} {Template}
59,Router.ShowGuestWiFiPassword.Init.Utterance,würdest du mir bitte das Gäste Wlan Passwort auf dem Fernseher anzeigen,{Template} {Template} {Template} {Template} {Template} {Template} {Template} {Template} {Template} {Template} {Template} {Template},would you please show me the guest Wi-Fi password on the TV screen,{Template} {Template} {Template} {Template} {Template} {Template} {Template} {Template}-{Template} {Template} {Template} {Template} {Template} {Template}
60,Tv.InitiateService.Init.Utterance,mach bitte den TV an,{Template} {Template} {Template} {Template} {Template},start the box,{Template} {Template} {Template}
61,Tv.InitiateService.Init.Utterance,mach bitte mal den Fernseher an,{Template} {Template} {Template} {Template} {Template} {Template},box on please,{Template} {Template} {Template}
62,Tv.InitiateService.Init.Utterance,stell den Fernseher an,{Template} {Template} {Template} {Template},start the TV box please,{Template} {Template} {Template} {Template} {Template}
63,Tv.InitiateService.Init.Utterance,lass den Fernseher an,{Template} {Template} {Template} {Template},TV box on,{Template} {Template} {Template}
64,Tv.InitiateService.Init.Utterance,die Kiste anmachen,{Template} {Template} {Template},please turn on the television,{Template} {Template} {Template} {Template} {Template}
65,Tv.InitiateService.Init.Utterance,TV anschalten,{Template} {Template},start the box,{Template} {Template} {Template}
66,Tv.InitiateService.Init.Utterance,mach bitte mal den Fernseher an,{Template} {Template} {Template} {Template} {Template} {Template},can you please turn on the TV box,{Template} {Template} {Template} {Template} {Template} {Template} {Template} {Template}
67,Tv.InitiateService.Init.Utterance,mach bitte den Kasten an,{Template} {Template} {Template} {Template} {Template},power-on the TV box,{Template}-{Template} {Template} {Template} {Template}
68,Tv.InitiateService.Init.Utterance,lass den Fernseher an,{Template} {Template} {Template} {Template},switch on the TV,{Template} {Template} {Template} {Template}
69,Tv.InitiateService.Init.Utterance,bitte schalte die TV Box an,{Template} {Template} {Template} {Template} {Template} {Template},could you please turn the TV box on,{Template} {Template} {Template} {Template} {Template} {Template} {Template} {Template}
70,Tv.OpenApplication.Init.Utterance,kannst du eine App aufmachen,{Template} {Template} {Template} {Template} {Template},Push the,{AppName} {AppName}
71,Tv.OpenApplication.Init.Utterance,kannst du für mich nach my cloud suchen,{Template} {Template} {Template} {Template} {Template} {AppName} {AppName} {Template},show me apps,{Template} {Template} {Template}
72,Tv.OpenApplication.Init.Utterance,tu Motorcycle Cruiser auf,{Template} {AppName} {AppName} {Template},can you show me the apps,{Template} {Template} {Template} {Template} {Template} {Template}
73,Tv.OpenApplication.Init.Utterance,führe Dukascopy TV (en) aus,{Template} {AppName} {AppName} ({AppName}) {Template},got to GVAX TV Air - 100% Latino Live-TV,{Template} {Template} {AppName} {AppName} {AppName} - {AppName}% {AppName} {AppName}-{AppName}
74,Tv.OpenApplication.Init.Utterance,eine App öffnen,{Template} {Template} {Template},can you open an app,{Template} {Template} {Template} {Template} {Template}
75,Tv.OpenApplication.Init.Utterance,kannst du für mich nach RTД suchen,{Template} {Template} {Template} {Template} {Template} {AppName} {Template},I'd like to open KMTV,{Template}'{Template} {Template} {Template} {Template} {AppName}
76,Tv.OpenApplication.Init.Utterance,kannst du bitte Витрина ТВ ausführen,{Template} {Template} {Template} {AppName} {AppName} {Template},I want to open Fling to the Finish,{Template} {Template} {Template} {Template} {AppName} {AppName} {AppName} {AppName}
77,Tv.OpenApplication.Init.Utterance,bitte TNT aufmachen,{Template} {AppName} {Template},can you show me the apps,{Template} {Template} {Template} {Template} {Template} {Template}
78,Tv.OpenApplication.Init.Utterance,mach bitte MUBI auf,{Template} {Template} {AppName} {Template},I want to open Smoots Air Summer Games,{Template} {Template} {Template} {Template} {AppName} {AppName} {AppName} {AppName}
79,Tv.OpenApplication.Init.Utterance,Awale aufrufen,{AppName} {Template},can you show me the apps,{Template} {Template} {Template} {Template} {Template} {Template}
80,SmartHome.SwitchOnDevice.Init.Utterance,schalte bitte das Gerät Nachttisch Lampe ein,{Template} {Template} {Template} {Template} {SmartHomeDeviceName} {SmartHomeDeviceName} {Template},please turn on all netatmos,{Template} {Template} {Template} {Template} {SmartHomeDeviceBrand}
81,SmartHome.SwitchOnDevice.Init.Utterance,alle Netatmos im Speisesaal ein bitte,{Template} {SmartHomeDeviceBrand} {Template} {SmartHomeDeviceLocation} {Template} {Template},turn myStrom on,{Template} {SmartHomeDeviceBrand} {Template}
82,SmartHome.SwitchOnDevice.Init.Utterance,im Stube Ikea einschalten,{Template} {SmartHomeDeviceLocation} {SmartHomeDeviceBrand} {Template},turn on gigaset please,{Template} {Template} {SmartHomeDeviceBrand} {Template}
83,SmartHome.SwitchOnDevice.Init.Utterance,Alles im Balkon ein,{Template} {Template} {SmartHomeDeviceLocation} {Template},switch on all hue,{Template} {Template} {Template} {SmartHomeDeviceBrand}
84,SmartHome.SwitchOnDevice.Init.Utterance,ich möchte dass du Salon einschaltest,{Template} {Template} {Template} {Template} {SmartHomeDeviceName} {Template},philipps hues on please,{SmartHomeDeviceBrand} {SmartHomeDeviceBrand} {Template} {Template}
85,SmartHome.SwitchOnDevice.Init.Utterance,mach Glüh Birne im Fernsehzimmer an,{Template} {SmartHomeDeviceCategory} {SmartHomeDeviceCategory} {Template} {SmartHomeDeviceLocation} {Template},please turn on all gigaset,{Template} {Template} {Template} {Template} {SmartHomeDeviceBrand}
86,SmartHome.SwitchOnDevice.Init.Utterance,aktiviere Gerät Lampe Wohnzimmer,{Template} {Template} {SmartHomeDeviceName} {SmartHomeDeviceName},turn on sonos please,{Template} {Template} {SmartHomeDeviceBrand} {Template}
87,SmartHome.SwitchOnDevice.Init.Utterance,mein Gigaset anmachen bitte,{Template} {SmartHomeDeviceBrand} {Template} {Template},please turn myStrom on,{Template} {Template} {SmartHomeDeviceBrand} {Template}
88,SmartHome.SwitchOnDevice.Init.Utterance,mein Philips Hue im Kinderzimmer aktivieren,{Template} {SmartHomeDeviceBrand} {SmartHomeDeviceBrand} {Template} {SmartHomeDeviceLocation} {Template},I need you to turn device hue color lamp 1 on,{Template} {Template} {Template} {Template} {Template} {Template} {SmartHomeDeviceName} {SmartHomeDeviceName} {SmartHomeDeviceName} {SmartHomeDeviceName} {Template}
89,SmartHome.SwitchOnDevice.Init.Utterance,mach Kamera im Wohnstube an,{Template} {SmartHomeDeviceCategory} {Template} {SmartHomeDeviceLocation} {Template},please turn device wi-fi switch 2 on,{Template} {Template} {Template} {SmartHomeDeviceName}-{SmartHomeDeviceName} {SmartHomeDeviceName} {SmartHomeDeviceName} {Template}
90,Tv.SkipCommercial.Init.Utterance,kannst du die Werbung bitte überspringen,{Template} {Template} {Template} {Template} {Template} {Template},please skip the commercial,{Template} {Template} {Template} {Template}
91,Tv.SkipCommercial.Init.Utterance,Werbung vorspulen,{Template} {Template},skip to the end of the commercial,{Template} {Template} {Template} {Template} {Template} {Template} {Template}
92,Tv.SkipCommercial.Init.Utterance,bis zum Ende der Werbung spulen,{Template} {Template} {Template} {Template} {Template} {Template},can you skip the commercial please,{Template} {Template} {Template} {Template} {Template} {Template}
93,Tv.SkipCommercial.Init.Utterance,Werbung überspringen,{Template} {Template},end the commercial please,{Template} {Template} {Template} {Template}
94,Tv.SkipCommercial.Init.Utterance,vor bis nach der Werbung,{Template} {Template} {Template} {Template} {Template},I don't want to watch the commercial,{Template} {Template}'{Template} {Template} {Template} {Template} {Template} {Template}
95,Tv.SkipCommercial.Init.Utterance,bis zum Ende der Werbung spulen,{Template} {Template} {Template} {Template} {Template} {Template},could you skip the commercial,{Template} {Template} {Template} {Template} {Template}
96,Tv.SkipCommercial.Init.Utterance,mach die Werbung weg,{Template} {Template} {Template} {Template},can you skip the commercial please,{Template} {Template} {Template} {Template} {Template} {Template}
97,Tv.SkipCommercial.Init.Utterance,bitte spul die Werbung vor,{Template} {Template} {Template} {Template} {Template},I want you to skip the commercial,{Template} {Template} {Template} {Template} {Template} {Template} {Template}
98,Tv.SkipCommercial.Init.Utterance,überspringe die Werbung bitte,{Template} {Template} {Template} {Template},jump to the end of the commercial,{Template} {Template} {Template} {Template} {Template} {Template} {Template}
99,Tv.SkipCommercial.Init.Utterance,ich will die Werbung nicht sehen,{Template} {Template} {Template} {Template} {Template} {Template},I don't need the commercial,{Template} {Template}'{Template} {Template} {Template} {Template}
100,Tv.WatchFromBeginning.Init.Utterance,ich will den Anfang nochmal sehen,{Template} {Template} {Template} {Template} {Template} {Template},start movie again,{Template} {Template} {Template}
101,Tv.WatchFromBeginning.Init.Utterance,ich würde das gerne nochmal von vorne anschauen,{Template} {Template} {Template} {Template} {Template} {Template} {Template} {Template},start movie again,{Template} {Template} {Template}
102,Tv.WatchFromBeginning.Init.Utterance,bitte von Anfang an,{Template} {Template} {Template} {Template},can you play this from the beginning,{Template} {Template} {Template} {Template} {Template} {Template} {Template}
103,Tv.WatchFromBeginning.Init.Utterance,nochmal zum Anfang,{Template} {Template} {Template},can you play this from the beginning,{Template} {Template} {Template} {Template} {Template} {Template} {Template}
104,Tv.WatchFromBeginning.Init.Utterance,ich möchte das von Anfang sehen,{Template} {Template} {Template} {Template} {Template} {Template},from the beginning please,{Template} {Template} {Template} {Template}
105,Tv.WatchFromBeginning.Init.Utterance,nochmal zum Anfang,{Template} {Template} {Template},I would like to watch this from the beginning please,{Template} {Template} {Template} {Template} {Template} {Template} {Template} {Template} {Template} {Template}
106,Tv.WatchFromBeginning.Init.Utterance,an den Anfang bitte,{Template} {Template} {Template} {Template},start from the beginning,{Template} {Template} {Template} {Template}
107,Tv.WatchFromBeginning.Init.Utterance,bitte die Serie nochmal von vorne abspielen,{Template} {Template} {Template} {Template} {Template} {Template} {Template},watch from beginning,{Template} {Template} {Template}
108,Tv.WatchFromBeginning.Init.Utterance,ich will den Anfang nochmal sehen,{Template} {Template} {Template} {Template} {Template} {Template},I would like to watch this from the beginning please,{Template} {Template} {Template} {Template} {Template} {Template} {Template} {Template} {Template} {Template}
109,Tv.WatchFromBeginning.Init.Utterance,an den Anfang bitte,{Template} {Template} {Template} {Template},start episode from the beginning,{Template} {Template} {Template} {Template} {Template}
110,Tv.TvChannelChange.Init.Utterance,schalte auf einen anderen Fernsehkanal,{Template} {Template} {Template} {Template} {Template},could you please change the channel to DMAX,{Template} {Template} {Template} {Template} {Template} {Template} {Template} {TvChannelName}
111,Tv.TvChannelChange.Init.Utterance,auf Sender 25 umschalten,{Template} {Template} {TvChannelPosition} {Template},turn on TV channel 80,{Template} {Template} {Template} {Template} {TvChannelPosition}
112,Tv.TvChannelChange.Init.Utterance,auf Warner TV machen,{Template} {TvChannelName} {TvChannelName} {Template},I do not want to see this,{Template} {Template} {Template} {Template} {Template} {Template} {Template}
113,Tv.TvChannelChange.Init.Utterance,auf einen anderen Sender schalten,{Template} {Template} {Template} {Template} {Template},I want to switch to channel 10,{Template} {Template} {Template} {Template} {Template} {Template} {TvChannelPosition}
114,Tv.TvChannelChange.Init.Utterance,schalte um auf Fernsehsender 25,{Template} {Template} {Template} {Template} {TvChannelPosition},go to ARD - alpha,{Template} {Template} {TvChannelName} - {TvChannelName}
115,Tv.TvChannelChange.Init.Utterance,schalt auf RSI La 1 um,{Template} {Template} {TvChannelName} {TvChannelName} {TvChannelName} {Template},I would like to change the channel,{Template} {Template} {Template} {Template} {Template} {Template} {Template}
116,Tv.TvChannelChange.Init.Utterance,stell um auf TV Kanal 3,{Template} {Template} {Template} {Template} {Template} {TvChannelPosition},I do not want to see this,{Template} {Template} {Template} {Template} {Template} {Template} {Template}
117,Tv.TvChannelChange.Init.Utterance,zu More 4 schalten,{Template} {TvChannelName} {TvChannelName} {Template},I think this channel is boring,{Template} {Template} {Template} {Template} {Template} {Template}
118,Tv.TvChannelChange.Init.Utterance,schalt um,{Template} {Template},would you please change the channel,{Template} {Template} {Template} {Template} {Template} {Template}
119,Tv.TvChannelChange.Init.Utterance,schalt um,{Template} {Template},change the channel to channel 56 please,{Template} {Template} {Template} {Template} {Template} {TvChannelPosition} {Template}
120,Tv.TvSearch.Init.Utterance,ich will Voice Assistant finden,{Template} {Template} {DossierName} {DossierName} {Template},I would like to watch Bibi Und Tina 3,{Template} {Template} {Template} {Template} {Template} {VodName} {VodName} {VodName} {VodName}
121,Tv.TvSearch.Init.Utterance,erzähl mir was zu Urraca CF,{Template} {Template} {Template} {Template} {SportParticipantName} {SportParticipantName},I'd like to watch Liga NOS,{Template}'{Template} {Template} {Template} {Template} {SportCompetitionName} {SportCompetitionName}
122,Tv.TvSearch.Init.Utterance,kann ich bitte Legenden der Volksmusik sehen,{Template} {Template} {Template} {BroadcastName} {BroadcastName} {BroadcastName} {Template},I'd like to watch Swiss League,{Template}'{Template} {Template} {Template} {Template} {SportCompetitionName} {SportCompetitionName}
123,Tv.TvSearch.Init.Utterance,hast du Golf,{Template} {Template} {SportSportsName},give me some information about Piers Morgan,{Template} {Template} {Template} {Template} {Template} {ParticipantName} {ParticipantName}
124,Tv.TvSearch.Init.Utterance,was weißt du über Dave England,{Template} {Template} {Template} {Template} {ParticipantName} {ParticipantName},I want to watch The Silent War,{Template} {Template} {Template} {Template} {VodName} {VodName} {VodName}
125,Tv.TvSearch.Init.Utterance,suche den Film On the Road,{Template} {Template} {Template} {VodName} {VodName} {VodName},can you look for Pumba Kids TV,{Template} {Template} {Template} {Template} {AppName} {AppName} {AppName}
126,Tv.TvSearch.Init.Utterance,such bitte 99 Homes für mich,{Template} {Template} {BroadcastName} {BroadcastName} {Template} {Template},give me something about Voice Assistant,{Template} {Template} {Template} {Template} {DossierName} {DossierName}
127,Tv.TvSearch.Init.Utterance,was weißt du über Billy Crystal,{Template} {Template} {Template} {Template} {ParticipantName} {ParticipantName},do you have Motorsport,{Template} {Template} {Template} {SportSportsName}
128,Tv.TvSearch.Init.Utterance,such bitte Road to Perdition für mich,{Template} {Template} {BroadcastName} {BroadcastName} {BroadcastName} {Template} {Template},I want to know more about Robert De Niro,{Template} {Template} {Template} {Template} {Template} {Template} {ParticipantName} {ParticipantName} {ParticipantName}
129,Tv.TvSearch.Init.Utterance,ich will ein Wintersport Spiel anschauen,{Template} {Template} {Template} {SportSportsName} {Template} {Template},I want to watch Football,{Template} {Template} {Template} {Template} {SportSportsName}
130,Tv.VolumeUp.Init.Utterance,mach ein bisschen lauter,{Template} {Template} {Template} {Template},volume up please,{Template} {Template} {Template}
131,Tv.VolumeUp.Init.Utterance,mach das Fernsehen lauter,{Template} {Template} {Template} {Template},turn up the TV's volume,{Template} {Template} {Template} {Template}'{Template} {Template}
132,Tv.VolumeUp.Init.Utterance,Lautstärke rauf,{Template} {Template},volume up a bit please,{Template} {Template} {Template} {Template} {Template}
133,Tv.VolumeUp.Init.Utterance,bitte mehr Lautstärke,{Template} {Template} {Template},turn up the television,{Template} {Template} {Template} {Template}
134,Tv.VolumeUp.Init.Utterance,ich will das lauter haben,{Template} {Template} {Template} {Template} {Template},this is too quiet,{Template} {Template} {Template} {Template}
135,Tv.VolumeUp.Init.Utterance,Lautstärke rauf,{Template} {Template},can you turn that up,{Template} {Template} {Template} {Template} {Template}
136,Tv.VolumeUp.Init.Utterance,noch lauter,{Template} {Template},turn up the volume a little,{Template} {Template} {Template} {Template} {Template} {Template}
137,Tv.VolumeUp.Init.Utterance,köntest du bitte die Lautstärke erhöhen,{Template} {Template} {Template} {Template} {Template} {Template},up the TV volume,{Template} {Template} {Template} {Template}
138,Tv.VolumeUp.Init.Utterance,mach ein bisschen lauter,{Template} {Template} {Template} {Template},not so quiet please,{Template} {Template} {Template} {Template}
139,Tv.VolumeUp.Init.Utterance,mach mal lauter ich versteh nichts,{Template} {Template} {Template} {Template} {Template} {Template},turn up the TV's volume,{Template} {Template} {Template} {Template}'{Template} {Template}
140,Tv.OpenUiArea.Init.Utterance,Menu,{Template},I would like to watch a movie from the romantic films genre,{Template} {Template} {Template} {Template} {Template} {Template} {Template} {Template} {Template} {AreaName} {AreaName} {Template}
141,Tv.OpenUiArea.Init.Utterance,öffne meine Bereiche,{Template} {Template} {Template},please open crime films,{Template} {Template} {AreaName} {AreaName}
142,Tv.OpenUiArea.Init.Utterance,zu Tierfilm bitte,{Template} {AreaName} {Template},which celebrity do you have,{Template} {AreaName} {Template} {Template} {Template}
